Length(mm),Welding Current (avg) (A),Welding Voltage (avg) (V),Welding Wire Speed (avg) (m/min),Welding Gas Usage (l),Welding Robot Speed (m/s),Welding Cycle Time
32.00,110.66,13.51,5.31,0.96,0.01,3.27
32.00,106.77,12.02,4.30,0.92,0.01,3.27
32.00,105.90,12.28,4.95,0.93,0.00,3.27
32.00,109.09,13.51,5.55,0.94,0.00,3.27
21.00,91.62,10.70,3.30,0.80,0.00,3.27
21.00,97.28,11.33,3.76,0.96,0.00,3.28
21.00,104.10,11.16,3.22,0.89,0.01,3.28
26.00,103.66,11.29,3.65,0.89,0.01,3.28
26.00,109.61,11.49,4.19,0.93,0.00,3.28
26.00,104.99,11.96,4.24,0.96,0.00,3.28
26.00,104.22,12.36,5.02,0.93,0.00,3.28
26.00,104.44,12.08,4.40,0.95,0.00,3.28
32.00,108.33,13.21,5.32,1.00,0.01,3.28
32.00,110.33,11.46,4.31,0.95,0.01,3.28
21.00,91.08,10.74,3.48,0.90,0.01,3.28
26.00,104.79,11.91,4.35,0.95,0.00,3.28
32.00,109.99,13.82,5.75,0.96,0.01,3.28
32.00,104.77,11.11,4.25,0.91,0.00,3.28
21.00,104.22,11.50,3.65,0.95,0.00,3.30
21.00,105.12,12.02,4.41,0.93,0.01,3.30
26.00,97.88,11.96,4.05,0.91,0.01,3.30
26.00,100.39,11.79,3.63,0.93,0.01,3.30
26.00,105.22,12.44,4.77,0.94,0.00,3.30
26.00,109.88,11.71,4.22,0.93,0.00,3.30
26.00,110.49,11.95,4.66,0.96,0.00,3.30
32.00,107.29,12.36,4.23,0.96,0.01,3.30
21.00,89.57,10.39,3.11,0.86,0.00,3.30
21.00,95.19,10.95,4.03,0.86,0.01,3.30
21.00,101.55,11.22,3.72,0.91,0.00,3.31
21.00,104.62,11.31,3.90,0.94,0.00,3.31
21.00,103.99,11.94,3.82,0.96,0.01,3.31
26.00,105.11,12.28,4.73,0.96,0.00,3.31
32.00,110.10,13.18,5.16,0.99,0.01,3.31
21.00,96.10,10.72,3.55,0.82,0.00,3.31
21.00,100.44,10.97,3.73,0.96,0.00,3.31
21.00,107.10,10.80,3.71,0.99,0.00,3.31
21.00,102.90,11.37,4.03,0.96,0.00,3.31
21.00,105.50,10.99,3.90,0.94,0.00,3.31
21.00,103.32,11.61,3.81,0.94,0.01,3.31
21.00,102.55,11.82,3.91,0.93,0.01,3.31
21.00,102.27,11.44,3.58,0.94,0.01,3.31
26.00,109.32,12.25,4.01,0.88,0.01,3.31
26.00,103.99,12.26,4.98,0.94,0.00,3.31
26.00,102.44,12.80,4.54,0.96,0.00,3.31
32.00,112.39,12.87,5.72,0.99,0.01,3.31
32.00,110.10,13.32,5.51,0.96,0.01,3.31
32.00,109.61,11.36,3.76,0.96,0.01,3.31
32.00,109.88,11.75,4.15,0.96,0.01,3.31
21.00,95.66,11.16,4.13,0.91,0.01,3.31
21.00,105.66,11.30,4.35,0.99,0.00,3.33
21.00,97.25,11.18,3.85,0.92,0.00,3.33
21.00,105.62,11.71,3.60,0.94,0.01,3.33
21.00,106.74,10.88,3.92,0.95,0.00,3.33
21.00,99.10,11.89,3.80,0.95,0.01,3.33
21.00,99.44,12.37,3.73,0.91,0.01,3.33
26.00,103.44,11.43,3.77,0.91,0.01,3.33
26.00,102.21,12.56,4.64,0.95,0.00,3.33
26.00,101.45,13.11,4.65,0.92,0.00,3.33
26.00,100.99,12.64,4.46,0.97,0.00,3.33
26.00,99.45,13.73,4.43,0.98,0.00,3.33
26.00,103.77,12.38,4.71,0.94,0.00,3.33
26.00,103.66,12.29,4.74,0.95,0.00,3.33
32.00,113.49,13.69,5.63,0.97,0.01,3.33
32.00,107.19,11.88,4.56,0.97,0.01,3.33
32.00,107.29,11.70,4.11,0.94,0.01,3.33
32.00,110.10,12.11,4.87,0.97,0.01,3.33
32.00,110.19,12.54,4.93,0.97,0.01,3.33
32.00,106.79,11.82,4.14,0.93,0.01,3.33
32.00,94.55,10.50,4.41,0.96,0.00,3.33
32.00,103.33,14.11,5.54,0.90,0.00,3.33
21.00,93.19,11.69,4.50,0.91,0.00,3.33
21.00,103.99,11.10,3.43,0.93,0.01,3.33
26.00,100.77,12.09,3.57,0.81,0.01,3.33
32.00,106.32,13.39,4.99,1.00,0.01,3.33
21.00,95.43,10.79,3.73,0.86,0.01,3.33
21.00,90.32,10.51,4.01,0.88,0.01,3.33
21.00,102.00,10.88,3.58,0.93,0.00,3.34
26.00,104.33,12.71,4.02,0.93,0.01,3.34
26.00,109.74,12.16,5.01,0.95,0.00,3.34
32.00,105.77,11.93,4.22,0.94,0.01,3.34
21.00,104.36,11.19,3.77,0.89,0.00,3.34
21.00,108.11,10.45,3.85,0.92,0.00,3.34
26.00,101.99,12.08,3.59,0.87,0.01,3.34
26.00,102.49,12.57,4.28,0.97,0.00,3.34
26.00,107.44,12.16,3.84,0.88,0.01,3.36
26.00,99.30,11.78,3.71,0.95,0.01,3.36
26.00,100.00,12.87,4.75,0.98,0.00,3.36
26.00,106.21,12.69,4.81,0.97,0.00,3.36
26.00,104.33,11.93,4.60,0.96,0.00,3.36
32.00,111.69,13.19,5.40,1.02,0.01,3.36
32.00,109.49,11.67,4.27,0.97,0.01,3.36
32.00,107.55,12.39,4.64,0.96,0.01,3.36
32.00,110.12,11.84,4.48,0.98,0.01,3.36
32.00,109.79,13.65,5.39,0.93,0.00,3.36
21.00,100.77,11.42,3.72,0.94,0.00,3.36
21.00,106.49,11.90,4.34,0.94,0.01,3.36
26.00,104.32,12.42,3.76,0.90,0.01,3.36
26.00,104.11,11.65,4.28,0.94,0.00,3.36
26.00,103.44,12.71,4.65,0.96,0.00,3.36
32.00,95.60,10.52,4.43,0.97,0.00,3.36
21.00,90.90,11.10,4.00,0.91,0.01,3.36
21.00,94.39,12.22,4.84,0.89,0.01,3.36
32.00,91.50,10.98,4.34,0.99,0.00,3.37
21.00,99.55,11.61,3.37,0.95,0.01,3.38
21.00,103.88,11.89,3.84,0.94,0.01,3.38
21.00,100.09,12.07,3.71,0.94,0.01,3.38
21.00,102.87,10.84,3.45,0.92,0.01,3.38
21.00,103.66,11.30,3.66,0.95,0.01,3.38
26.00,105.10,12.53,3.81,0.93,0.01,3.38
26.00,100.99,12.31,3.68,0.93,0.01,3.38
26.00,104.99,12.25,4.47,0.93,0.00,3.38
26.00,101.18,13.05,5.22,1.01,0.00,3.38
32.00,108.77,13.56,5.36,1.03,0.01,3.38
32.00,110.39,12.51,5.08,0.97,0.01,3.38
32.00,106.77,12.63,4.51,0.95,0.01,3.38
32.00,106.33,12.14,4.44,0.97,0.01,3.38
32.00,107.89,11.60,4.09,1.00,0.01,3.38
32.00,110.09,12.71,4.95,0.97,0.01,3.38
32.00,107.77,14.19,6.01,0.92,0.00,3.38
21.00,91.80,10.33,3.32,0.85,0.01,3.38
21.00,90.49,11.11,4.41,0.92,0.01,3.38
21.00,92.88,10.58,3.45,0.82,0.01,3.38
21.00,100.66,11.15,3.90,0.95,0.00,3.39
26.00,99.66,12.08,3.72,0.81,0.01,3.39
26.00,110.39,11.79,4.96,1.00,0.00,3.39
26.00,104.10,11.72,4.01,0.96,0.01,3.39
26.00,99.49,12.76,4.53,0.98,0.00,3.39
32.00,110.19,13.19,5.35,0.98,0.01,3.39
32.00,110.44,13.26,5.47,0.98,0.01,3.39
32.00,110.00,11.28,3.79,0.96,0.01,3.39
32.00,105.77,12.29,4.99,0.97,0.01,3.39
32.00,106.33,12.19,4.35,0.96,0.01,3.39
32.00,109.59,13.03,5.34,0.89,0.00,3.39
32.00,108.09,14.76,6.19,0.87,0.00,3.39
32.00,109.00,14.24,5.96,0.96,0.00,3.39
21.00,92.72,12.17,4.55,0.92,0.01,3.39
21.00,94.55,10.99,3.82,0.90,0.01,3.39
32.00,107.33,11.93,4.09,1.01,0.01,3.40
26.00,104.99,12.95,4.67,0.99,0.00,3.41
26.00,96.99,12.59,4.72,1.01,0.00,3.41
32.00,108.77,13.17,5.32,0.98,0.01,3.41
32.00,110.08,11.83,4.56,0.97,0.01,3.41
32.00,110.29,12.12,4.94,1.02,0.01,3.41
32.00,107.69,12.00,4.34,0.95,0.01,3.41
32.00,105.72,13.65,5.48,1.03,0.01,3.41
32.00,104.90,12.43,5.18,0.93,0.00,3.41
32.00,105.09,14.44,5.90,0.97,0.00,3.41
21.00,95.55,10.78,3.59,0.92,0.01,3.41
21.00,103.19,11.61,3.23,0.92,0.00,3.41
32.00,107.55,12.00,4.21,0.99,0.01,3.41
32.00,95.40,10.66,4.45,0.99,0.00,3.41
21.00,100.99,11.03,3.86,1.01,0.00,3.42
21.00,102.70,11.11,3.68,0.94,0.00,3.42
21.00,102.50,11.59,3.99,1.00,0.00,3.42
26.00,104.88,12.32,3.76,0.94,0.01,3.42
26.00,107.25,11.65,3.51,0.91,0.01,3.42
26.00,107.49,12.16,3.49,0.91,0.01,3.42
26.00,104.66,11.67,4.25,1.00,0.00,3.42
26.00,104.49,12.90,4.91,1.01,0.00,3.42
26.00,106.90,11.53,4.66,0.99,0.00,3.42
26.00,102.59,12.48,4.92,0.98,0.00,3.42
26.00,102.77,12.90,4.42,0.97,0.00,3.42
32.00,112.33,13.26,5.49,1.03,0.01,3.42
32.00,113.49,12.51,5.49,1.00,0.01,3.42
32.00,111.69,13.06,5.46,1.02,0.01,3.42
32.00,107.29,11.75,3.95,1.00,0.01,3.42
32.00,91.39,10.88,4.27,0.94,0.00,3.42
32.00,106.99,12.96,5.64,0.95,0.00,3.42
21.00,89.49,10.36,3.54,0.90,0.01,3.42
21.00,91.60,10.66,3.52,0.91,0.01,3.42
21.00,91.89,10.57,3.60,0.87,0.01,3.42
21.00,100.55,10.48,3.55,0.97,0.00,3.44
21.00,105.33,11.69,3.82,0.94,0.01,3.44
26.00,99.70,12.62,4.71,0.99,0.00,3.44
32.00,109.89,11.49,4.19,1.01,0.01,3.44
32.00,109.81,12.42,4.90,1.00,0.01,3.44
32.00,104.90,12.55,5.17,0.95,0.00,3.44
32.00,109.99,13.28,5.42,0.88,0.00,3.44
32.00,98.69,14.54,6.25,0.91,0.00,3.44
21.00,101.33,11.33,3.69,0.95,0.00,3.44
21.00,105.37,10.83,4.02,0.96,0.00,3.44
21.00,101.44,11.35,3.66,0.99,0.01,3.44
26.00,104.12,11.71,3.92,0.98,0.01,3.44
26.00,106.33,12.62,5.05,0.98,0.00,3.44
32.00,91.09,11.20,4.61,0.98,0.00,3.44
32.00,102.19,11.96,4.95,0.92,0.00,3.44
32.00,110.33,13.56,5.27,0.92,0.00,3.44
32.00,105.39,13.79,5.25,0.93,0.00,3.44
32.00,103.63,14.88,6.12,0.92,0.00,3.44
21.00,95.10,11.81,4.71,0.93,0.01,3.44
26.00,103.66,11.87,4.14,0.91,0.01,3.44
21.00,104.77,11.84,3.94,0.93,0.01,3.45
32.00,108.69,15.50,6.19,1.02,0.01,3.45
21.00,106.09,10.73,3.54,1.00,0.00,3.45
26.00,104.21,11.49,3.50,0.94,0.01,3.45
26.00,111.24,11.45,4.06,0.95,0.01,3.45
26.00,99.00,13.57,5.19,0.98,0.00,3.45
26.00,104.08,12.77,4.60,1.00,0.00,3.45
26.00,104.66,12.05,4.19,0.99,0.00,3.45
32.00,108.89,13.33,5.34,1.00,0.01,3.45
32.00,101.36,13.85,5.17,1.04,0.01,3.45
32.00,106.72,13.43,5.35,0.96,0.00,3.45
21.00,91.90,10.67,3.45,0.90,0.01,3.45
21.00,89.10,10.46,3.35,0.91,0.01,3.45
21.00,89.77,11.46,4.85,0.89,0.00,3.45
21.00,104.99,11.89,4.26,0.97,0.01,3.45
26.00,101.54,12.41,4.70,0.97,0.00,3.45
32.00,109.99,13.50,5.42,1.02,0.01,3.45
32.00,104.39,13.74,5.78,0.94,0.00,3.45
21.00,89.70,11.97,5.18,0.90,0.01,3.45
21.00,101.50,11.65,3.95,0.94,0.01,3.47
32.00,110.77,12.81,5.28,1.03,0.01,3.47
32.00,107.81,12.61,4.94,0.94,0.00,3.47
21.00,89.59,10.55,3.63,0.92,0.01,3.47
21.00,105.40,11.10,3.84,0.97,0.00,3.47
21.00,96.44,11.72,3.70,0.95,0.00,3.47
21.00,99.88,10.96,3.78,0.94,0.00,3.47
26.00,105.09,12.24,3.55,0.95,0.01,3.47
26.00,103.90,12.87,3.94,0.97,0.01,3.47
26.00,103.77,11.75,4.26,0.95,0.00,3.47
26.00,104.55,12.27,4.73,0.98,0.00,3.47
32.00,104.79,12.84,4.37,0.98,0.01,3.47
32.00,109.77,11.79,4.49,0.96,0.01,3.47
32.00,109.37,11.70,4.65,0.99,0.01,3.47
32.00,102.19,13.22,4.47,0.98,0.01,3.47
32.00,101.90,12.84,5.86,0.96,0.00,3.47
21.00,91.10,12.02,5.26,0.89,0.01,3.47
26.00,104.40,12.46,4.70,1.01,0.00,3.48
21.00,105.62,10.90,3.63,0.96,0.00,3.48
26.00,102.77,12.19,3.93,0.94,0.01,3.48
26.00,105.70,11.49,3.87,0.94,0.01,3.48
26.00,99.66,12.28,4.00,0.93,0.01,3.48
26.00,99.33,12.41,4.37,0.99,0.00,3.48
26.00,102.69,11.96,4.12,1.01,0.00,3.48
26.00,99.60,13.88,5.31,0.97,0.00,3.48
32.00,110.39,12.94,5.11,1.01,0.01,3.48
32.00,105.19,13.76,6.06,0.93,0.00,3.48
32.00,108.59,13.87,4.83,0.93,0.00,3.48
32.00,104.55,13.04,5.86,0.92,0.00,3.48
32.00,95.10,10.53,4.47,1.02,0.00,3.48
32.00,109.66,14.62,5.86,0.93,0.00,3.48
21.00,106.30,11.47,3.70,1.01,0.00,3.49
21.00,105.37,11.66,3.31,0.95,0.01,3.49
26.00,98.39,11.90,3.62,0.97,0.01,3.49
32.00,106.13,12.63,4.65,1.03,0.01,3.49
32.00,108.77,12.77,4.98,0.99,0.01,3.49
32.00,91.81,11.19,4.53,1.01,0.00,3.49
32.00,105.70,12.55,5.45,0.95,0.00,3.49
32.00,90.88,11.00,4.32,1.00,0.00,3.50
26.00,104.49,12.36,3.75,0.98,0.01,3.50
26.00,104.55,12.27,3.63,0.96,0.01,3.50
26.00,98.09,12.00,3.72,0.95,0.01,3.50
26.00,98.29,13.56,4.78,1.01,0.00,3.50
26.00,102.50,13.29,4.52,0.98,0.00,3.50
26.00,104.10,12.33,4.60,0.97,0.00,3.50
26.00,102.54,12.58,4.82,1.00,0.00,3.50
32.00,105.89,14.05,5.40,0.99,0.01,3.50
32.00,105.09,13.18,4.78,1.02,0.01,3.50
32.00,107.55,12.25,4.28,0.96,0.01,3.50
32.00,107.49,11.95,4.20,0.99,0.01,3.50
32.00,111.36,13.71,5.90,0.94,0.00,3.50
32.00,107.79,12.81,5.29,0.95,0.00,3.50
32.00,110.19,13.26,6.12,0.95,0.00,3.50
32.00,91.59,11.11,4.33,1.01,0.00,3.50
32.00,108.08,13.82,5.77,0.97,0.00,3.50
32.00,95.19,10.38,4.26,1.01,0.00,3.50
21.00,91.44,10.50,3.85,0.90,0.01,3.50
21.00,91.69,12.31,4.65,0.92,0.01,3.50
21.00,89.39,10.37,3.62,0.93,0.01,3.50
26.00,102.88,13.09,4.86,1.01,0.00,3.50
26.00,106.44,11.53,3.67,0.94,0.01,3.52
26.00,102.90,12.70,4.84,1.01,0.00,3.52
32.00,110.79,11.52,4.34,1.04,0.01,3.52
32.00,105.59,11.89,4.92,0.99,0.00,3.52
32.00,105.44,13.62,5.37,0.93,0.00,3.52
32.00,104.40,13.27,5.65,0.98,0.00,3.52
21.00,92.22,11.49,4.24,0.91,0.01,3.52
26.00,103.77,12.21,3.57,0.96,0.01,3.52
26.00,101.87,11.30,3.55,0.93,0.01,3.52
26.00,105.09,12.00,4.54,1.02,0.00,3.52
32.00,107.33,11.87,3.87,0.98,0.01,3.52
32.00,109.36,13.14,5.30,1.01,0.01,3.52
32.00,104.81,13.90,5.05,0.93,0.00,3.52
21.00,84.99,10.08,3.62,0.94,0.01,3.52
21.00,105.50,11.09,3.55,1.02,0.00,3.53
21.00,101.25,10.79,3.70,0.98,0.00,3.53
26.00,104.33,11.73,4.38,1.01,0.00,3.53
26.00,105.49,12.04,4.61,1.04,0.00,3.53
26.00,106.89,13.03,5.23,1.02,0.00,3.53
32.00,109.19,12.54,4.64,1.01,0.01,3.53
32.00,110.29,12.65,4.96,1.04,0.01,3.53
32.00,110.55,13.27,5.61,1.01,0.01,3.53
32.00,106.60,11.85,4.15,1.01,0.01,3.53
32.00,109.00,13.03,4.94,1.02,0.01,3.53
32.00,91.29,11.03,4.32,1.01,0.00,3.53
32.00,94.99,10.54,4.41,1.01,0.00,3.53
32.00,100.55,12.36,5.45,0.95,0.00,3.53
32.00,106.89,14.83,5.88,1.00,0.00,3.53
21.00,104.80,10.65,3.81,1.02,0.00,3.53
32.00,111.99,12.74,5.61,1.06,0.01,3.53
32.00,100.59,12.54,5.31,0.94,0.00,3.53
32.00,107.59,13.11,5.02,0.95,0.00,3.53
21.00,92.89,10.72,3.63,0.94,0.01,3.53
21.00,88.59,10.48,3.57,0.93,0.01,3.53
26.00,100.49,13.10,3.34,0.92,0.01,3.55
26.00,106.50,12.06,4.63,1.01,0.00,3.55
32.00,109.99,12.40,4.80,1.07,0.01,3.55
21.00,89.44,10.40,3.70,0.86,0.00,3.55
32.00,108.49,13.46,5.19,1.03,0.01,3.55
32.00,99.49,13.64,4.95,1.03,0.01,3.55
32.00,110.22,12.04,4.29,0.98,0.01,3.55
32.00,110.19,12.20,4.91,1.06,0.01,3.55
32.00,104.27,11.60,4.61,1.01,0.00,3.55
32.00,107.39,12.35,5.36,1.00,0.00,3.55
32.00,95.30,10.58,4.63,1.00,0.00,3.55
32.00,95.10,10.61,4.39,1.02,0.00,3.55
32.00,107.49,14.34,5.63,0.97,0.00,3.55
21.00,95.55,10.94,3.90,0.93,0.01,3.55
21.00,95.33,10.80,3.51,0.95,0.01,3.55
26.00,98.50,12.23,4.09,0.97,0.01,3.55
21.00,100.99,11.23,3.46,0.98,0.00,3.56
32.00,110.29,12.14,4.86,1.04,0.01,3.56
32.00,105.69,13.81,5.20,1.03,0.01,3.56
32.00,107.30,12.05,4.34,1.00,0.01,3.56
32.00,108.99,13.23,5.41,0.97,0.00,3.56
32.00,94.89,10.58,4.45,1.00,0.00,3.56
32.00,107.09,13.73,5.37,0.97,0.00,3.56
21.00,95.39,11.00,3.86,0.93,0.01,3.56
21.00,101.44,11.03,3.64,1.02,0.00,3.56
26.00,104.40,12.17,3.78,0.96,0.01,3.56
26.00,106.21,12.42,4.48,1.06,0.00,3.56
26.00,105.88,12.17,4.83,1.03,0.00,3.56
32.00,110.59,12.30,4.46,1.04,0.01,3.56
32.00,110.88,13.60,5.49,0.94,0.00,3.56
32.00,94.69,10.59,4.52,1.00,0.00,3.56
32.00,106.45,13.06,5.47,0.95,0.00,3.56
32.00,104.79,14.34,5.39,0.97,0.00,3.56
32.00,109.59,14.05,5.34,1.00,0.00,3.56
32.00,105.24,14.53,5.96,0.97,0.00,3.56
21.00,92.32,10.82,3.76,0.93,0.01,3.56
21.00,104.80,11.39,3.71,0.98,0.00,3.58
26.00,99.33,12.04,3.94,0.95,0.01,3.58
26.00,99.99,12.28,3.93,0.97,0.01,3.58
26.00,103.89,12.30,3.70,0.96,0.01,3.58
26.00,104.24,12.07,4.51,0.99,0.00,3.58
32.00,111.69,12.79,5.58,1.03,0.01,3.58
32.00,104.79,13.60,5.15,1.06,0.01,3.58
32.00,100.54,13.93,5.27,1.05,0.01,3.58
32.00,107.17,13.74,4.96,0.97,0.00,3.58
32.00,90.59,11.10,4.31,1.00,0.00,3.58
32.00,106.69,14.27,6.06,0.99,0.00,3.58
32.00,106.29,14.54,5.47,0.98,0.00,3.58
32.00,106.70,11.62,3.81,1.01,0.01,3.58
32.00,110.19,11.86,4.55,1.02,0.01,3.58
32.00,106.59,12.14,4.54,1.04,0.01,3.58
32.00,110.69,13.24,5.83,0.98,0.00,3.58
26.00,106.21,12.01,4.21,0.99,0.00,3.59
21.00,97.66,11.42,3.87,0.98,0.00,3.59
26.00,105.77,11.70,4.10,0.99,0.01,3.59
26.00,109.55,11.72,4.73,1.02,0.00,3.59
26.00,105.29,12.65,4.78,0.98,0.00,3.59
26.00,101.60,12.33,4.27,1.05,0.00,3.59
26.00,100.33,13.03,4.66,1.01,0.00,3.59
32.00,105.88,13.82,5.43,1.06,0.01,3.59
32.00,109.88,12.73,4.57,1.04,0.01,3.59
32.00,105.69,13.22,4.79,1.05,0.01,3.59
32.00,104.99,13.26,4.76,1.02,0.01,3.59
32.00,109.66,12.55,4.62,1.02,0.01,3.59
32.00,109.72,12.53,4.50,1.08,0.01,3.59
32.00,110.66,12.24,4.54,1.04,0.01,3.59
32.00,104.09,13.09,4.34,1.03,0.01,3.59
32.00,90.79,11.30,4.30,1.03,0.00,3.59
32.00,101.20,11.18,4.52,0.96,0.00,3.59
32.00,91.54,11.15,4.50,1.01,0.00,3.59
21.00,93.09,10.52,3.49,0.91,0.01,3.59
21.00,92.39,10.72,3.49,0.97,0.01,3.59
21.00,91.63,11.44,4.33,0.95,0.01,3.59
32.00,100.90,12.48,4.64,1.00,0.00,3.61
26.00,103.89,12.18,3.70,0.97,0.01,3.61
26.00,104.90,12.46,3.77,0.97,0.01,3.61
26.00,101.22,12.74,4.32,1.01,0.00,3.61
32.00,107.39,11.81,3.96,1.02,0.01,3.61
32.00,109.39,12.97,5.16,1.04,0.01,3.61
32.00,91.35,10.90,4.26,1.00,0.00,3.61
21.00,90.32,10.63,4.00,0.99,0.00,3.61
21.00,88.69,10.59,3.92,0.96,0.01,3.61
26.00,106.37,12.61,5.06,1.06,0.00,3.61
26.00,104.00,13.00,4.79,1.01,0.00,3.61
32.00,106.50,11.80,4.28,1.07,0.01,3.61
32.00,110.29,13.19,5.02,1.01,0.01,3.61
32.00,104.89,14.36,5.79,1.03,0.00,3.61
21.00,90.32,10.38,3.92,0.90,0.00,3.61
26.00,104.44,12.15,4.18,1.03,0.00,3.62
21.00,101.44,11.17,3.38,1.02,0.00,3.63
26.00,99.44,12.40,4.23,1.06,0.00,3.63
26.00,98.90,12.79,4.85,0.94,0.00,3.63
26.00,102.37,13.29,4.55,1.01,0.00,3.63
26.00,105.60,12.34,5.00,1.08,0.00,3.63
26.00,99.89,12.62,4.46,1.05,0.00,3.63
32.00,101.08,13.32,4.57,1.02,0.01,3.63
32.00,110.36,12.92,5.19,1.08,0.01,3.63
32.00,99.24,12.44,4.79,1.02,0.00,3.63
32.00,91.53,10.94,4.30,1.08,0.00,3.63
32.00,95.09,10.39,4.28,1.05,0.00,3.63
32.00,98.99,11.84,4.79,1.01,0.00,3.63
32.00,105.89,11.86,4.81,0.97,0.00,3.63
32.00,105.00,11.84,4.60,0.99,0.00,3.63
32.00,105.17,13.74,5.59,0.97,0.00,3.63
21.00,89.59,10.54,3.64,0.97,0.01,3.63
21.00,96.74,10.96,3.80,0.95,0.01,3.63
32.00,110.08,12.49,4.77,1.03,0.01,3.64
32.00,106.10,12.86,5.13,0.98,0.00,3.64
21.00,92.50,11.98,4.26,0.97,0.01,3.64
26.00,100.87,13.16,4.74,1.02,0.00,3.64
26.00,104.59,12.39,4.38,1.07,0.00,3.64
26.00,104.26,12.52,4.36,1.03,0.00,3.64
32.00,97.70,13.20,4.97,0.98,0.00,3.64
32.00,104.60,12.65,4.65,0.93,0.00,3.64
32.00,97.72,12.05,4.92,1.00,0.00,3.64
21.00,95.43,10.85,3.87,0.94,0.01,3.64
21.00,92.77,10.88,3.88,0.94,0.01,3.64
21.00,95.10,11.09,3.56,0.92,0.01,3.65
26.00,101.00,13.06,4.84,1.04,0.00,3.66
32.00,105.99,13.23,5.21,1.07,0.01,3.66
32.00,105.36,12.67,4.60,1.07,0.01,3.66
32.00,111.09,12.60,4.63,1.03,0.01,3.66
32.00,106.49,13.81,5.34,0.99,0.00,3.66
32.00,107.70,12.61,5.45,1.01,0.00,3.66
21.00,90.09,10.56,3.43,0.95,0.01,3.66
26.00,98.40,12.53,3.58,1.00,0.01,3.66
26.00,104.99,12.37,4.86,1.06,0.00,3.66
32.00,104.99,13.58,5.73,0.97,0.00,3.66
32.00,109.79,14.11,5.39,0.98,0.00,3.66
21.00,93.89,10.95,3.43,0.98,0.01,3.66
32.00,109.82,13.39,6.13,1.11,0.01,3.67
32.00,102.00,11.77,4.31,1.00,0.00,3.67
32.00,95.44,10.63,4.20,1.01,0.00,3.67
26.00,99.30,11.86,3.86,0.98,0.01,3.67
